game_id,game_name_abbr,index,type,inversed
238faaad-4968-4a91-9c29-84f59da38ad4,LocMemAdv,mean_log_err,dist,1
238faaad-4968-4a91-9c29-84f59da38ad4,LocMemAdv,nc_loc,exclude,
de124965-f280-4177-a747-20fe4aba79fa,LocMemA,mean_dist_err,exclude,
de124965-f280-4177-a747-20fe4aba79fa,LocMemA,mean_log_err,exclude,
de124965-f280-4177-a747-20fe4aba79fa,LocMemA,nc_loc,exclude,
9ca38d8d-a402-49fd-bb5f-aa0f1d499c5e,LocMemB,mean_dist_err,exclude,
9ca38d8d-a402-49fd-bb5f-aa0f1d499c5e,LocMemB,mean_log_err,dist,1
9ca38d8d-a402-49fd-bb5f-aa0f1d499c5e,LocMemB,nc_loc,exclude,
ec40acb2-efba-40cd-adbc-fd604668b451,SpatTempA,mean_dist_err,exclude,
ec40acb2-efba-40cd-adbc-fd604668b451,SpatTempA,mean_log_err,exclude,
ec40acb2-efba-40cd-adbc-fd604668b451,SpatTempA,nc_loc,exclude,
ec40acb2-efba-40cd-adbc-fd604668b451,SpatTempA,nc_order,exclude,
b896281d-9460-450e-9675-47ab3ba1068c,SpatTempB,mean_dist_err,exclude,
b896281d-9460-450e-9675-47ab3ba1068c,SpatTempB,mean_log_err,dist,1
b896281d-9460-450e-9675-47ab3ba1068c,SpatTempB,nc_loc,exclude,
b896281d-9460-450e-9675-47ab3ba1068c,SpatTempB,nc_order,acc,0
ed0a28e4-9a36-402d-b671-3a26abb57581,HOP,mean_dist_err_allo,exclude,
ed0a28e4-9a36-402d-b671-3a26abb57581,HOP,mean_dist_err_both,exclude,
ed0a28e4-9a36-402d-b671-3a26abb57581,HOP,mean_dist_err_ego,exclude,
ed0a28e4-9a36-402d-b671-3a26abb57581,HOP,mean_log_err_allo,exclude,
ed0a28e4-9a36-402d-b671-3a26abb57581,HOP,mean_log_err_both,dist,1
ed0a28e4-9a36-402d-b671-3a26abb57581,HOP,mean_log_err_ego,exclude,
e4399b39-92a0-4f44-871c-6108a1b17a63,LdnTwr,level_score,exclude,
e4399b39-92a0-4f44-871c-6108a1b17a63,LdnTwr,mean_level,exclude,
e4399b39-92a0-4f44-871c-6108a1b17a63,LdnTwr,total_score,exclude,
87c63149-07ba-4d34-bcad-7e5fff3b5dc8,MltSns,mrt_image,exclude,
87c63149-07ba-4d34-bcad-7e5fff3b5dc8,MltSns,mrt_mixadv,rt_contrast,0
87c63149-07ba-4d34-bcad-7e5fff3b5dc8,MltSns,mrt_mixed,exclude,
87c63149-07ba-4d34-bcad-7e5fff3b5dc8,MltSns,mrt_sound,exclude,
30869f3f-7e5e-4e1a-8785-9c8c997616b9,Nback,c,exclude,
30869f3f-7e5e-4e1a-8785-9c8c997616b9,Nback,dprime,acc,0
30869f3f-7e5e-4e1a-8785-9c8c997616b9,Nback,mrt,rt,1
30869f3f-7e5e-4e1a-8785-9c8c997616b9,Nback,pc,exclude,
9a4aad2c-7afc-4c6f-b586-0721ba2e29c8,OneBackFish,nc_weighted,acc,0
7034b6f2-0f09-46ea-8b95-634689a8e998,BDS,max_span,exclude,
7034b6f2-0f09-46ea-8b95-634689a8e998,BDS,mean_span,exclude,
7034b6f2-0f09-46ea-8b95-634689a8e998,BDS,nc,acc,1
7c7fe5b8-58dd-49dd-bf2a-30376b44f778,FDS,max_span,exclude,
7c7fe5b8-58dd-49dd-bf2a-30376b44f778,FDS,mean_span,exclude,
7c7fe5b8-58dd-49dd-bf2a-30376b44f778,FDS,nc,acc,1
697d1de9-d140-4e21-9269-6de08443f784,SSTMS,max_span,exclude,
